start,end,speaker,text,overlap_ratio,emotion,emotion_score
188.24,189.24,SPEAKER_00,A tire.,0.0,ang,1.0
189.24,190.84,SPEAKER_00,Is that good enough for you?,0.0,neu,0.997
190.84,191.84,SPEAKER_00,Great.,0.0,hap,1.0
192.24,195.44,SPEAKER_00,"Hmm, job description 1.PDF.",0.0,neu,1.0
195.44,197.64,SPEAKER_00,This is the description of this position.,0.0,ang,1.0
197.64,199.72,SPEAKER_00,"Oh, this guy knows how to rhyme too.",0.0,neu,1.0
199.72,200.72,SPEAKER_00,That's good.,0.0,hap,1.0
200.72,202.96,SPEAKER_00,JD Interview Partner.,0.0,ang,1.0
202.96,204.72,SPEAKER_00,Unique job opportunity.,0.0,ang,1.0
204.72,207.16,SPEAKER_00,Interview partner for a senior software engineer.,0.0,ang,1.0
207.16,213.16,SPEAKER_00,"Basically, this guy is trying to use me as someone to go through job interviews.",0.0,neu,1.0
213.16,216.04,SPEAKER_00,You'll receive all necessary information before each review.,0.0,ang,0.8693
216.04,219.4,SPEAKER_00,"During the interview, I will guide you by typing responses in real time for you to",0.0,ang,1.0
219.4,220.4,SPEAKER_00,read aloud.,0.0,hap,1.0
220.8,222.48,SPEAKER_00,They're asking you an interview question.,0.0,neu,1.0
222.48,224.4,SPEAKER_00,Has to type it out and then you respond.,0.0,ang,1.0
224.4,227.0,SPEAKER_00,"So it's like, what is your name, my good sir?",0.0,neu,0.9991
227.0,230.08,SPEAKER_00,What do I get for being this guy's puppet and getting him jobs?,0.0,ang,1.0
230.08,234.6,SPEAKER_00,I will receive 30% of the salary after tax for each job secured.,0.0,ang,1.0
234.6,239.48,SPEAKER_00,"So if the salary is $15,000 per month, I will receive $3,000 per month.",0.0,neu,0.7087
239.48,244.24,SPEAKER_00,"If you help secure a second job, your earnings can increase to $63,000 per month.",0.0,ang,1.0
244.24,248.84,SPEAKER_00,I don't know what the scam is other than like maybe some sort of employment fraud.,0.0,neu,0.9966
248.84,250.96,SPEAKER_00,Do you have any experience in software developments?,0.0,neu,0.9998
250.96,251.96,SPEAKER_00,Not at all.,0.0,neu,1.0
251.96,255.04,SPEAKER_00,I can barely use my keyboard.,0.0,neu,1.0
255.04,256.4,SPEAKER_00,"You know, things are getting desperate.",0.0,ang,1.0
256.4,259.2,SPEAKER_00,"And at this point, I'm just looking for a job where I work for free.",0.0,neu,1.0
259.2,263.32,SPEAKER_00,"And we have Howard here, who is definitely a real human being and not a bought account",0.0,ang,1.0
263.32,269.56,SPEAKER_00,"on Discord with the username Howard, www.19932955.",0.0,hap,1.0
269.56,270.56,SPEAKER_00,Hello everyone.,0.0,ang,0.9961
270.56,274.72,SPEAKER_00,I have an idea that could help us secure more development projects across the US and Europe.,0.0,ang,1.0
274.72,282.16,SPEAKER_00,The candidate would receive 20 to 30% of monthly income from the projects as compensation.,0.0,neu,0.9999
282.16,284.08,SPEAKER_00,"Howard, I am interested in your job.",0.0,ang,1.0
284.08,287.8,SPEAKER_00,After being a victim of a botched plastic surgery to make me look like my favorite kpop,0.0,ang,1.0
287.8,290.72,SPEAKER_00,"idol, I need money to help fix my disassembled face.",0.0,ang,1.0
290.72,293.56,SPEAKER_00,Please provide more details about the job and how to move forward.,0.0,ang,1.0
293.56,294.56,SPEAKER_00,Howard style.,0.0,ang,0.9712
294.56,296.44,SPEAKER_00,"Okay, let me explain about that.",0.0,neu,0.9853
296.44,300.84,SPEAKER_00,"I am a software developer from Italy and I'm going to get US jobs, but I'm not a US citizen",0.0,ang,1.0
300.84,302.32,SPEAKER_00,and native English speaker.,0.0,ang,1.0
302.32,304.48,SPEAKER_00,So I am looking for a person to collaborate with me.,0.0,neu,1.0
304.48,310.96,SPEAKER_00,"I'm good at collaborating, specifically when it comes to more than casual business relationships.",0.0,neu,1.0
310.96,311.96,SPEAKER_00,So can you do interviews?,0.0,neu,1.0
311.96,314.32,SPEAKER_00,"Oh, these are the same scams.",0.0,hap,0.9999
314.32,318.52,SPEAKER_00,So what is Howard and we trying to do here in terms of making me do job interviews?,0.0,neu,1.0
318.52,321.0,SPEAKER_00,"Well, this is another type of scam that I was trying to look for.",0.0,ang,1.0
321.0,322.84,SPEAKER_00,Now it's not much of a scam.,0.0,ang,1.0
322.84,326.24,SPEAKER_00,"It's a weird type of fraud that happens in the industry, but the thing that we were just",0.0,ang,1.0
326.24,330.48,SPEAKER_00,"asked to do goes by a variety of names, the bait and switch interview, proxy interviewing,",0.0,ang,1.0
330.48,332.92,SPEAKER_00,"the fake candidate scam, job interview fraud.",0.0,ang,0.9997
332.92,336.76,SPEAKER_00,"The way that it works is that someone, a job candidate, will hire another person, you",0.0,ang,1.0
336.76,340.72,SPEAKER_00,"know, a charismatic fellow like me who can write minion fanfiction.",0.0,hap,1.0
340.72,344.64,SPEAKER_00,"And my job is to pretend to be the person, sit through the job interviews and land them",0.0,ang,1.0
344.64,345.64,SPEAKER_00,the position.,0.0,ang,0.9867
345.64,349.08,SPEAKER_00,I want to point out that this stuff generally is dangerous for the industry because in the,0.0,ang,1.0
349.08,353.0,SPEAKER_00,"business insider article, they talked about how a hospital team was in a rush to fill",0.0,ang,1.0
353.0,357.2,SPEAKER_00,the job position because it turns out the last person that they hired to land the job,0.0,ang,1.0
357.2,358.2,SPEAKER_00,was a fraud.,0.0,neu,0.9998
358.2,362.6,SPEAKER_00,"He was a proxy interviewer who actually got hired, but when he got to his job on the",0.0,ang,1.0
362.6,366.48,SPEAKER_00,"first day, he started having trouble with basic technical issues.",0.0,ang,1.0
366.48,370.2,SPEAKER_00,"And what ended up happening is that for some very basic maintenance, it caused an hour",0.0,ang,1.0
370.2,375.8,SPEAKER_00,long connectivity outage for every medical device and computer on an entire floor of a,0.0,ang,1.0
375.8,381.08,SPEAKER_00,"hospital, which left doctors unable to remotely monitor patients' vital signs.",0.0,ang,1.0
381.08,384.68,SPEAKER_00,People could have died because this guy is a fucking idiot.,0.0,ang,1.0
384.68,389.68,SPEAKER_00,"Now I don't want to give anyone any ideas here, but some random dude was offered $60",0.0,ang,1.0
389.68,392.36,SPEAKER_00,an hour to sit on three to five job interviews.,0.0,ang,0.5275
392.36,396.32,SPEAKER_00,"However, I don't want to give you any ideas because sometimes these scammers will just straight",0.0,neu,0.9898
396.32,400.52,SPEAKER_00,"up ask you, can you show me your ID card, which you should never do, but some people will",0.0,ang,1.0
400.52,402.2,SPEAKER_00,do that and congratulations.,0.0,ang,0.7805
402.2,404.76,SPEAKER_00,You are now a victim of identity fraud.,0.0,neu,0.7576
404.76,405.76,SPEAKER_00,Fun.,0.0,neu,1.0
405.76,408.8,SPEAKER_00,"And as I continue to read people's opinions on the matter, I came across this comment that",0.0,ang,0.9999
408.8,414.24,SPEAKER_00,"said, my Cisco was warned that FinTech companies are being targeted by North Korea and China",0.0,ang,1.0
414.24,417.76,SPEAKER_00,with the desire to gain access to financial infrastructure.,0.0,ang,1.0
417.76,421.12,SPEAKER_00,"At the time I was researching this, I completely brushed this off.",0.0,ang,1.0
421.12,422.12,SPEAKER_00,It's discord.,0.0,ang,1.0
422.12,423.62,SPEAKER_00,It's a fucking chat platform.,0.0,ang,0.6532
423.62,428.56,SPEAKER_00,North Korea is not going to be using it to try and spy on American companies and espionage,0.0,ang,1.0
428.56,429.56,SPEAKER_00,and all that crap.,0.0,neu,0.9649
429.56,434.56,SPEAKER_00,That's at least what I thought until I started going deeper and deeper into things.,0.0,neu,1.0
434.56,439.0,SPEAKER_00,Because things come to a head in terms of this North Korean conspiracy theory when we get,0.0,ang,1.0
439.0,440.72,SPEAKER_00,to our next posting.,0.0,ang,1.0
440.72,445.52,SPEAKER_00,"Miring Remote by Pro, who's online right now with the username Earn.Money.",0.0,neu,1.0
445.52,450.28,SPEAKER_00,"Oh, I'm expanding my market to worldwide and looking for people to collaborate with me",0.0,hap,1.0
450.28,452.24,SPEAKER_00,from all these locations.,0.0,neu,1.0
452.24,455.56,SPEAKER_00,It's absolutely remote and flexible work with good compensation.,0.0,ang,0.8644
455.56,457.36,SPEAKER_00,No skills and experience.,0.0,ang,0.9992
457.36,458.64,SPEAKER_00,Perfect for me.,0.0,ang,0.9454
458.64,459.64,SPEAKER_00,Must have a laptop.,0.0,ang,0.9918
459.64,461.52,SPEAKER_00,Must be 20 to 35.,0.0,neu,0.9998
461.52,464.44,SPEAKER_00,Send me a DM filling out this form for more detail.,0.0,ang,1.0
464.44,468.28,SPEAKER_00,"Hello, I was recently injured in my workplace after falling off a ladder and landing on a",0.0,ang,0.9874
468.28,469.96,SPEAKER_00,conical spike that entered me.,0.0,ang,1.0
470.0,471.28,SPEAKER_00,I'm interested in your job.,0.0,neu,0.9992
471.28,472.28,SPEAKER_00,My name is Brad.,0.0,neu,0.9957
472.28,473.28,SPEAKER_00,I'm 29.,0.0,neu,1.0
473.28,474.28,SPEAKER_00,I look like I'm 20.,0.0,ang,1.0
474.28,475.28,SPEAKER_00,American.,0.0,neu,1.0
475.28,479.28,SPEAKER_00,"My last job was an adult toy manufacturing assistant and I expect up to $100,000.",0.0,neu,0.9986
479.28,481.44,SPEAKER_00,Are you available for a call with me?,0.0,ang,1.0
481.44,485.08,SPEAKER_00,"And after edging this dude for 20 minutes saying that I'm joining, I decide to actually",0.0,ang,1.0
485.08,488.24,SPEAKER_00,join the Google meets call where I act like a dumb American.,0.0,ang,0.9965
488.24,489.24,SPEAKER_00,Hello.,0.19,hap,1.0
489.24,490.24,SPEAKER_01,Yeah.,0.4,hap,1.0
490.24,491.24,SPEAKER_01,Hello.,0.43,neu,1.0
491.24,492.24,SPEAKER_01,Hello.,0.89,neu,1.0
492.24,493.24,SPEAKER_01,Hello.,0.35,neu,1.0
493.24,494.24,SPEAKER_00,Hello.,0.0,neu,1.0
494.24,495.24,SPEAKER_01,Can you hear me?,0.46,neu,1.0
495.24,496.24,SPEAKER_01,Hello.,0.0,neu,0.9999
496.24,497.24,SPEAKER_01,"Yeah, I can hear you.",0.0,hap,0.965
497.24,498.24,SPEAKER_01,Thank you for joining.,0.0,neu,1.0
498.24,502.32,SPEAKER_01,"Yes, I will explain about my plan.",0.0,hap,0.9721
502.32,509.44,SPEAKER_01,So I may software engineer and I'm currently visiting Japan.,0.0,neu,1.0
509.44,516.88,SPEAKER_01,You know that the average salary in America is much higher than other countries.,0.0,neu,0.9991
516.88,524.68,SPEAKER_01,"So as a developer, it is two times much, much more than in Japan.",0.031,neu,1.0
524.68,525.68,SPEAKER_01,Two times what?,1.0,neu,1.0
525.68,526.68,SPEAKER_01,Sorry.,0.07,ang,1.0
526.68,528.2,SPEAKER_01,Two times higher than Japan.,0.145,hap,1.0
528.2,530.2,SPEAKER_00,"That's just higher times two, right?",0.165,neu,1.0
530.2,531.2,SPEAKER_01,"Yeah, that's right.",0.2,neu,1.0
531.2,532.2,SPEAKER_01,Okay.,0.21,hap,1.0
532.2,541.84,SPEAKER_01,"What you have to do is just create some accounts, social accounts for me and I will update their",0.0,neu,1.0
541.84,544.28,SPEAKER_01,profile as a software developer.,0.0,neu,0.9994
544.28,547.04,SPEAKER_01,Do you use LinkedIn?,0.123,neu,1.0
547.04,548.04,SPEAKER_00,No.,0.0,neu,1.0
548.04,554.0,SPEAKER_01,"You don't need, you don't use and it means you don't need it.",0.04,ang,1.0
554.0,556.16,SPEAKER_01,"Yeah, it's a waste of money.",0.0,neu,1.0
556.16,557.16,SPEAKER_01,So.,0.52,hap,0.9971
557.16,558.16,SPEAKER_01,Okay.,0.0,hap,1.0
558.16,564.48,SPEAKER_00,I don't have a lot of money right now just because of the accident.,0.5,hap,0.9998
564.48,565.48,SPEAKER_00,"You know, yeah.",0.0,hap,1.0
565.48,566.48,SPEAKER_01,Yeah.,0.31,neu,1.0
566.48,567.48,SPEAKER_00,But it's bad.,0.94,neu,1.0
567.48,568.48,SPEAKER_00,Yeah.,1.0,hap,1.0
568.48,569.48,SPEAKER_00,It's bad.,0.17,hap,0.8117
569.48,572.6,SPEAKER_00,"Like the accident, I had to sell everything.",0.0,neu,1.0
572.6,573.6,SPEAKER_00,It was bad.,0.0,ang,1.0
573.6,575.32,SPEAKER_01,"Yeah, it was bad.",0.0,neu,1.0
575.32,580.12,SPEAKER_00,"And like I got a pot in a wheelchair and I had to go through like, you know, physical",0.329,hap,1.0
580.12,585.4,SPEAKER_00,therapy just so that my legs would work and it's crazy with the accident.,0.032,neu,1.0
585.4,589.68,SPEAKER_00,"Like, you know, it's not just my legs that didn't work, you know, like it was everything.",0.0,neu,1.0
589.68,594.56,SPEAKER_00,"It was everything below the waist, you know, like my most important thing wasn't working,",0.061,neu,1.0
594.56,595.56,SPEAKER_01,you know?,0.37,neu,0.9964
595.56,596.56,SPEAKER_01,I'll go to it.,0.0,neu,1.0
596.56,597.96,SPEAKER_01,"Yeah, I didn't know.",0.0,neu,1.0
597.96,599.64,SPEAKER_01,I'm sorry to hear that.,0.0,neu,1.0
599.64,601.16,SPEAKER_00,"Oh, it's all good.",0.046,hap,1.0
601.16,602.16,SPEAKER_00,That's what the jobs for though.,0.0,neu,1.0
602.16,606.36,SPEAKER_00,"I'm trying to pay to get my, my, my, my legs and my weener working.",0.0,neu,1.0
606.36,610.12,SPEAKER_00,"Now, I'm going to be honest with you for a second, but during the time I was going through",0.0,ang,1.0
610.12,614.08,SPEAKER_00,"this call, I was actually really concerned that I was just talking to some nice guy",0.0,neu,1.0
614.08,617.84,SPEAKER_00,in a foreign country that was just trying to make more money by working in the US.,0.0,neu,0.9998
617.84,622.2,SPEAKER_00,"So I started to kind of feel bad if I'm going to be honest, but I stuck with it and I'm",0.0,neu,1.0
622.2,623.52,SPEAKER_00,sure glad I did.,0.121,neu,1.0
623.52,625.72,SPEAKER_01,So are you single?,0.0,neu,1.0
625.72,628.56,SPEAKER_01,If I ask about your job.,0.0,neu,1.0
628.56,629.56,SPEAKER_00,"Yeah, yeah.",0.69,hap,1.0
629.56,630.56,SPEAKER_00,"Yeah, yeah.",0.0,neu,1.0
630.56,633.96,SPEAKER_00,"Now, yeah, my wife left me because of the accident, but now I have all the time in the world",0.1,neu,1.0
633.96,638.8,SPEAKER_00,"to try and get myself, you know, metaphorically and realistically back on my feet.",0.017,neu,1.0
638.8,641.0,SPEAKER_01,"Oh, it's really bad.",0.0,hap,1.0
641.0,647.52,SPEAKER_01,"I didn't know that I'm very sorry, very sorry to hear that.",0.035,neu,1.0
647.52,648.52,SPEAKER_00,It's all good.,0.36,hap,1.0
648.52,650.0,SPEAKER_00,They gave me an electric wheelchair.,0.0,neu,1.0
650.0,651.92,SPEAKER_00,So at least I have that going for me.,0.047,neu,1.0
651.92,655.2,SPEAKER_00,"You know, if it was man, if it was manual, that'd be a lot harder.",0.25,hap,1.0
655.2,658.6,SPEAKER_00,"But since this one is electric, you know, I can at least look cool on it.",0.0,neu,1.0
658.6,660.32,SPEAKER_01,"Anyways, what are you saying about LinkedIn again?",0.378,neu,0.9988
660.32,663.36,SPEAKER_01,"Okay, let's dive into our topic.",0.0,neu,1.0
663.36,664.88,SPEAKER_01,So we are talking more LinkedIn.,0.0,neu,1.0
664.88,672.0,SPEAKER_01,"So what you have to do is to support me with your accounts are not only LinkedIn, but",0.0,neu,1.0
672.0,678.0,SPEAKER_01,there can be several several platforms like our account.,0.0,neu,1.0
678.0,682.68,SPEAKER_01,And then you need to modify your identity on those platforms.,0.036,neu,1.0
682.68,686.28,SPEAKER_00,"So at this point during the call, I'm trying to realize what scam is going on.",0.0,neu,0.986
686.28,690.0,SPEAKER_00,"And at this point, I thought he was just going to do a typical identity fraud scam where",0.0,ang,0.9991
690.0,694.76,SPEAKER_00,"he's like, Hey, send me your ID so we can verify you on LinkedIn and air quotes.",0.0,ang,1.0
694.76,698.92,SPEAKER_00,And then he just uses my ID to take out loans and then my credit score goes down.,0.0,ang,0.6936
698.92,703.12,SPEAKER_00,"Don't worry, it's already at zero anyways, but turns out that's not the case.",0.174,neu,0.7286
703.12,711.6,SPEAKER_01,"And one more thing is that in case I'm using your accounts, I need to work on your computer.",0.0,neu,1.0
711.6,714.2,SPEAKER_01,It's due to policies of platforms.,0.0,neu,1.0
714.2,719.08,SPEAKER_01,So the policy of these platforms are very straight.,0.0,neu,1.0
719.08,724.44,SPEAKER_01,"For example, on LinkedIn, they detect the IPs of the machines.",0.0,neu,1.0
724.44,732.68,SPEAKER_01,"So if I am using your account on my computer, they detect that I logged in your account in",0.0,ang,0.9925
732.68,735.64,SPEAKER_01,Japan and blocked your account.,0.0,ang,1.0
735.64,738.28,SPEAKER_01,So that's why I should work on your computer.,0.0,neu,1.0
738.28,739.28,SPEAKER_00,"Oh, okay.",0.74,neu,1.0
739.28,740.28,SPEAKER_01,Does it make sense?,0.43,neu,1.0
740.28,741.8,SPEAKER_00,Do I need to send you my computer?,0.507,ang,1.0
741.8,744.2,SPEAKER_01,"No, no, no, no, not sent.",0.0,neu,0.9122
744.2,747.96,SPEAKER_01,There are remote softwares like any of this.,0.0,neu,1.0
747.96,751.04,SPEAKER_01,"I, I will send you the link.",0.036,ang,1.0
751.04,755.2,SPEAKER_00,Now I assumed the second he sent me this link that he's going to try and do one of those,0.0,ang,1.0
755.2,758.64,SPEAKER_00,normal tech support scams you see from like Kit Vogue on YouTube.,0.0,neu,0.5597
758.64,762.32,SPEAKER_00,I thought he was going to log into my bank account and try to steal my money or log into,0.0,ang,1.0
762.32,766.16,SPEAKER_00,my account and steal my passwords or maybe just download malware on my computer.,0.0,ang,1.0
766.16,770.36,SPEAKER_00,"I thought this was the end of the scam and thankfully I was on a virtual machine, but",0.0,neu,1.0
770.36,771.88,SPEAKER_00,it wasn't the end of the scam.,0.0,ang,1.0
771.88,772.88,SPEAKER_00,It just gets deeper.,0.0,ang,1.0
772.88,773.88,SPEAKER_00,"Oh, I got a new number.",0.39,neu,1.0
773.88,774.88,SPEAKER_00,Do you want me to read the number?,0.0,neu,1.0
774.88,775.88,SPEAKER_00,"No, no, no, no.",0.37,hap,1.0
775.88,787.2,SPEAKER_00,"This is my three, eight, nine, five, zero, six, one, zero.",0.246,neu,1.0
787.2,791.8,SPEAKER_01,"Okay, please accept, accept that it's me.",0.0,neu,1.0
791.8,793.4,SPEAKER_01,It's me who's access.,0.544,neu,1.0
793.4,795.88,SPEAKER_00,It says administrator.,0.25,neu,1.0
795.88,796.88,SPEAKER_00,Is that you?,0.18,neu,1.0
796.88,798.2,SPEAKER_01,"Yeah, that's me.",0.0,neu,1.0
798.2,799.2,SPEAKER_01,Yeah.,0.0,neu,1.0
799.2,801.0,SPEAKER_01,"Okay, I can access to your computer.",0.0,neu,0.9999
801.0,803.56,SPEAKER_01,Do you agree to work with me?,0.0,neu,1.0
803.56,804.56,SPEAKER_00,So.,0.31,neu,1.0
804.56,805.84,SPEAKER_00,I don't have any problems.,0.0,neu,1.0
805.84,808.16,SPEAKER_00,We've been we've been chit chat and for a while.,0.0,neu,1.0
808.16,809.84,SPEAKER_00,I think this is quite interesting.,0.065,neu,1.0
809.84,810.84,SPEAKER_01,"Okay, okay.",0.0,hap,1.0
810.84,811.84,SPEAKER_01,That's cool.,0.0,neu,0.9972
811.84,820.08,SPEAKER_01,"If I sit the password here on any disk, I can access to a computer when I need to.",0.016,neu,1.0
820.08,823.76,SPEAKER_00,"So if you're not sure what's going on, what he's doing here is he's setting a password",0.0,ang,1.0
823.76,827.28,SPEAKER_00,on any desk so that he can access my laptop at any time.,0.0,ang,1.0
827.28,829.88,SPEAKER_00,"So if I'm away from my laptop, I don't need to click on accept.",0.0,ang,1.0
829.88,833.88,SPEAKER_00,He can just log in with his password and access my computer whenever he wants to.,0.0,ang,1.0
833.88,835.32,SPEAKER_00,Do you want me to close my eyes?,0.021,neu,1.0
835.32,839.48,SPEAKER_01,"No, no, no, no, I can't feel it.",0.0,neu,1.0
839.48,846.84,SPEAKER_01,"I said, I said the password is a red code scare with your name and with my name.",0.016,neu,1.0
846.84,851.04,SPEAKER_00,"If this was an actual tech support scam, he wouldn't tell me the password, but he shares",0.0,neu,0.9998
851.04,852.96,SPEAKER_00,the password with me.,0.0,ang,1.0
852.96,854.56,SPEAKER_00,It's not one of those scams.,0.137,ang,1.0
854.56,856.56,SPEAKER_01,You and I work together.,0.0,neu,1.0
856.56,862.04,SPEAKER_01,So you provide me that accounts and I work on that doesn't make sense.,0.0,neu,0.9936
862.04,866.6,SPEAKER_01,So I act like I'm you.,0.0,neu,1.0
866.6,871.4,SPEAKER_00,"So if you are you going to also have to have your legs not work, you're going to have to",0.408,neu,1.0
871.4,875.48,SPEAKER_00,"go through the accident to be me because you know what they say, right?",0.0,neu,1.0
875.48,880.08,SPEAKER_00,"Like you don't really know a person unless you've, you know, rolled a mile in their wheelchair.",0.02,neu,1.0
880.08,885.56,SPEAKER_01,"Yeah, I know that I understand you.",0.018,neu,1.0
885.56,887.72,SPEAKER_00,Is that you and your profile picture?,0.005,neu,1.0
887.72,891.28,SPEAKER_01,"No, this is just a model.",0.0,neu,1.0
891.28,895.0,SPEAKER_01,So I thought it was you.,0.306,hap,1.0
895.0,898.4,SPEAKER_00,I said you would look pretty cute in that dress.,0.3,hap,1.0
898.4,904.12,SPEAKER_01,"I have a male, but this is even if you're a male or a female.",0.528,neu,1.0
904.12,908.88,SPEAKER_01,"I got it, but I don't, I don't wear a dress.",0.076,neu,1.0
908.88,910.92,SPEAKER_01,I usually wear.,0.397,neu,1.0
910.92,911.92,SPEAKER_01,Yeah.,0.21,hap,1.0
911.92,912.92,SPEAKER_01,"Okay, got it.",0.0,neu,1.0
912.92,915.08,SPEAKER_00,"Okay, so I got to make a LinkedIn account, right?",0.347,neu,1.0
